id,title,statement,acceptance_test,evidence_ids,phase
R1,Reader-facing separation,"Keep the reader-facing manuscript separate from the audit and provenance record, linked by immutable document and version identifiers; internal workflow vocabulary must not leak into the manuscript.","A low-context reader can state the purpose, object, and requested action, the leak fixture finds no forbidden internal register, and every released file traces to a source hash and version.",E-INT-001;E-INT-002,"P1,P4"
R2,Configurable policy precedence,"Resolve conflicts in the order correctness, source fidelity, domain meaning, reader comprehension, then template regularity; store project and format overrides in configuration rather than manuscript prose.",Conflict fixtures resolve in the declared order and LaTeX-specific configuration disables rules that would alter protected syntax.,E-INT-002;E-SW-003;E-SW-013,P1
R3,Located diagnostics without automatic rewriting,"Diagnostics emit categories, source spans, measurements, context, and editorial questions; only an explicit author or editor action may change text.",Every diagnostic fixture returns stable locations and no command mutates its input; accepted edits are remeasured and recorded separately.,E-INT-002;E-SW-003;E-SW-013,"P2,P4"
R4,Layered diagnosis and repair,"Diagnose and repair register leakage, mechanical repetition, defensive prose, substance, and reader comprehension in that order while retaining intermediate results.",Historical replay preserves a result for every layer and prevents a later-layer score from concealing an unresolved earlier defect.,E-INT-001;E-EXT-007,"P2,P4"
R5,Protected meaning-preserving diff,"Represent equations, labels, citations, numbers, claims, code, tables, and quoted text as protected content and explain every substantive change between versions.","Repair replay produces zero unexplained protected-token changes and blocks promotion on any unexplained deletion, insertion, or mutation.",E-INT-001;E-SW-006;E-SW-007;E-SW-008,"P1,P2"
R6,Citation identity and claim support,"Resolve bibliographic identity separately from source-to-claim support, retain a sentence-level claim anchor, and block release on an unresolved load-bearing citation.","Seeded valid, nonexistent, wrong-DOI, duplicate, and title-mismatch cases are classified correctly, and every load-bearing claim has a human-verified full-text anchor.",E-EXT-015;E-METHOD-005;E-METHOD-007,"P0,P2"
R7,Calibrated model judging,"Use model judges only for construct-specific screening after pair-order randomization, length control, cross-family checking, and calibration against recorded human labels.","A frozen human-labelled set reports agreement and order, verbosity, and family-sensitivity diagnostics before a judge result can enter analysis.",E-EXT-008;E-EXT-016;E-EXT-018,P3
R8,Named human acceptance,"A human reader, not a surface metric or model judge, is the promotion authority for a specific document version.","Every promoted document records the pseudonymous reader, immutable document hash, rubric response, decision, requested changes, and elapsed time.",E-INT-001;E-METHOD-006,"P3,P4,P5"
R9,Held-out behavioral evaluation,"Evaluate diagnostic packages and the complete workflow on documents not used for rule tuning, and separate surface, process, higher-order, and acceptance outcomes.","Tuning and holdout hashes are frozen before execution, each package has a human-labelled scorecard, and no smoke test is reported as effectiveness.",E-INT-002;E-EXT-017;E-EXT-018,"P0,P3,P5"
R10,Minimal process surface,"Use one bounded plan and one result record per work package; do not expose audit ledgers, gate names, or orchestration state in reader-facing prose.",The release packet contains the required provenance records while the manuscript passes the internal-register leak test and a reader can identify the argument without process context.,E-INT-001;E-INT-002,"P1,P4"
R11,Privacy and disclosure,"Keep protected manuscripts local by default and record provider, model, purpose, retention policy, disclosure status, and approval for every remote call.","An unapproved remote route is blocked, approved calls produce a complete disclosure record, and the minimum-content retention policy is enforced.",E-METHOD-004;E-METHOD-006,"P1,P4,P5"
R12,Population-level convergence without attribution,"Monitor aggregate vocabulary and structural convergence against an appropriate pre-assistance baseline, but never classify the authorship of an individual document.","The drift command refuses single-document analysis, suppresses small cells, and reports uncertainty and baseline sensitivity for aggregate trends.",E-EXT-004;E-EXT-005;E-EXT-012,"P2,P3,P5"
R13,Interaction telemetry,"Record writer intent, suggestion, acceptance, edit, rejection, and rollback events without retaining unnecessary manuscript content.","End-to-end replay reconstructs the intervention path from hashes and event records, distinguishes edited acceptance from direct acceptance, and applies the retention class.",E-EXT-002;E-EXT-019;E-EXT-021,"P3,P4,P5"
R14,Heterogeneous outcomes,"Report effects by baseline writer skill, document task and genre, and reader role; do not deploy from an average effect that conceals subgroup harm.",The preregistered analysis reports uncertainty for each prespecified stratum and applies the stop rule if expert writers or a task class are harmed.,E-EXT-013;E-EXT-017;E-EXT-018;E-EXT-020,"P3,P5"
R15,Format-aware parser contract,All parser adapters must emit the same source-map and protected-span contract; no parser is authoritative merely because it accepts a document.,"Pandoc, pylatexenc, plasTeX, LaTeXML, and tree-sitter candidates are benchmarked on malformed, unknown-macro, nested-environment, comment, math, citation, location, and round-trip fixtures before selection.",E-SW-006;E-SW-007;E-SW-014;E-SW-015;E-SW-016,P1
R16,Evidence-tiered package adoption,"Treat package availability, operational suitability, and writing effectiveness as separate decisions; only a held-out human-labelled benchmark supports adoption.","Every adoption candidate has one provenance record and one explicit hold or adopt decision, and adoption is impossible unless its benchmark status is effectiveness-pass and independent review is recorded.",E-INT-002;E-SW-003;E-SW-013,"P0,P1,P3"
R17,Complete authoring brief,"Require the intended reader, decision, genre, known vocabulary, named exemplars, evidence boundary, privacy class, protected objects, and unresolved assumptions before long-form drafting; critical unknowns block the run.","Seeded missing critical fields fail before writer invocation; complete briefs produce a stable hash and an explicit list of noncritical unknowns.",E-INT-001;E-INT-002,"P1,P4"
R18,Argument blueprint before prose,"Compile a claim map, evidence anchors, concept-dependency graph, section jobs, terminology order, and visual plan before bounded drafting.","Seeded missing warrants, use-before-teach concepts, duplicate section jobs, and figures without a teaching purpose block promotion; the plan has a stable hash.",E-INT-001;E-INT-002;E-EXT-007,"P1,P2,P4"
R19,Bounded evidence-constrained drafting,"Give a replaceable writer one approved unit at a time with only the context and evidence named in the blueprint; widening a claim or inventing evidence requires an author decision.","A unit can be rebuilt independently, records its prompt context and evidence anchors, and cannot advance the next unit while its own checks are unresolved.",E-INT-002;E-EXT-019;E-EXT-021,"P2,P4"
R20,Fail-closed pre-human release,"Do not emit a human-review packet until integrity, argument, writing, evidence, and reconstruction gates pass or a named owner approves an explicit exception; missing or unknown results block release.","Each seeded gate failure produces no reader packet, preserves a located repair record, and leaves the source available for inspection.",E-INT-001;E-INT-002,"P2,P4,P5"
R21,Construct-specific preflight critics,"Use isolated critics for concept order, evidence and scope, concrete mechanism, and low-context reconstruction; calibrate them on held-out human labels and never treat one model's self-assessment as certification.","A frozen held-out set reports false-positive, false-negative, order, verbosity, and family-sensitivity results before a critic enters the release path.",E-EXT-008;E-EXT-016;E-EXT-018,"P3,P4,P5"
R22,Adversarial mutation testing,"Inject known integrity, evidence, dependency, pacing, register, citation, and repair-oscillation failures into valid plans and drafts before trusting the release gate.","All critical deterministic mutations are caught or explicitly abstained from; rhetorical mutation rates and uncertainty are reported from a frozen test set.",E-INT-002;E-EXT-017;E-EXT-018,"P2,P3,P4"
R23,Bounded causal repair,"Map each failed gate to a named repair strategy, rebuild and recheck within a fixed cycle limit, detect oscillation, and escalate an unresolved choice to the author.","Seeded failures converge or stop with a located unresolved choice; no repair loop silently hands an unfinished document to the reader.",E-INT-001;E-INT-002;E-EXT-019,"P2,P4"
R24,Human-attention budget,"Treat scarce expert reading time as a product constraint: release only after pre-human checks, measure escalations, repair cycles, reader time, and routine debugging avoided, and compare them with the incumbent workflow.","The feasibility record reports first-draft release rate, author and reader minutes, abstentions, and meaning errors; no model score substitutes for the human outcome.",E-INT-001;E-METHOD-006;E-EXT-017,"P3,P4,P5"
