id,question_ids,source_type,study_design,title,authors,year,doi,url,local_path,inspection,claim_anchor,finding,implication,limitations,confidence,load_bearing,appraisal_tool,appraisal_status,source_hash,source_provenance,audit_status,reviewer,independent_verification,identity_status,canonical_title,canonical_year,identity_raw_response
E-EXT-003,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,"Nair, Tan, Su, Gere, Wang, and Wang",2024,10.18653/v1/2024.emnlp-main.928,https://aclanthology.org/2024.emnlp-main.928/,,"primary abstract, metadata, and proceedings record",,"The paper studies generated writing feedback and evaluates it on an economic essay assignment, while explicitly noting that the effectiveness of model feedback on student revision is not settled.","Feedback quality must be evaluated by resulting revision performance, not by the apparent helpfulness of the feedback text.",Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,ACL Anthology landing page and linked paper; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,raw/evidence-doi-005-e-ext-003.json
E-EXT-004,['Q4'],primary-study,primary-empirical-uncoded,Generative AI enhances individual creativity but reduces the collective diversity of novel content,Doshi and Hauser,2024,10.1126/sciadv.adn5290,https://doi.org/10.1126/sciadv.adn5290,,primary landing page and abstract-level record,,The study experimentally examines individual creative performance and collective diversity under generative AI assistance.,The product needs population-level convergence monitoring and must not optimize every document toward one house style.,Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,Science Advances article landing page and abstract; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,raw/evidence-doi-006-e-ext-004.json
E-EXT-005,"['Q1', 'Q3']",primary-study,primary-empirical-uncoded,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,Gao et al.,2023,10.1038/s41746-023-00819-6,https://www.nature.com/articles/s41746-023-00819-6,,primary article abstract and metadata,,The study compares 50 real abstracts with 50 ChatGPT-generated abstracts and includes blinded human review alongside detector measurements.,Detector performance and human quality judgments must be reported as different endpoints; neither is an authorship verdict.,Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,NPJ Digital Medicine article landing page and abstract; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,2023,raw/evidence-doi-007-e-ext-005.json
E-EXT-006,"['Q4', 'Q6']",systematic-review,systematic-review,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",Reza et al.,2025,,https://arxiv.org/abs/2504.12488,,primary preprint abstract and methods summary,,"The review reports a PRISMA-based analysis of 109 HCI papers selected from more than 1,600 records, with attention to agency and ownership across planning, translation, reviewing, and monitoring.","The implementation should expose ownership and review boundaries explicitly and should treat the writing process, not just the final text, as an evaluation object.",Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,Public arXiv preprint landing page and methods summary; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-007,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,"Rashkin, Clark, Huot, and Lapata",2025,10.18653/v1/2025.acl-long.1254,https://aclanthology.org/2025.acl-long.1254/,,"primary abstract, metadata, and ACL proceedings record",,"The authors introduce a 1,300-story test set with intentionally corrupted writing and evaluate model feedback with automatic and human measures. Models often give specific and mostly accurate comments but fail to identify the most important problem and to choose appropriately between critical and positive feedback.","Humanvoice should rank feedback by issue importance, expose uncertainty, and test whether the writer's next revision addresses the highest-impact defect instead of rewarding fluent commentary.",Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,ACL Anthology landing page and linked PDF; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Help Me Write a Story: Evaluating LLMs’ Ability to Generate Writing Feedback,2025,raw/evidence-doi-014-e-ext-007.json
E-EXT-008,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Using Large Language Models to Assess Young Students' Writing Revisions,"Li, Liu, Matsumura, Wang, Litman, and Correnti",2024,,https://aclanthology.org/2024.bea-1.30/,,primary abstract and proceedings metadata,,"GPT-4 showed potential for assessing revision quality when detailed rubrics described common revision patterns, but agreement with human ratings varied across writing-proficiency levels and chain-of-thought prompting did not materially improve the result.",A judge must be calibrated by rubric and proficiency/domain slice; a generic score or longer reasoning trace is not evidence of validity.,Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,ACL Anthology landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-010,"['Q4', 'Q6']",primary-study,primary-empirical-uncoded,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,"Li, Liang, Peng, and Yin",2024,10.18653/v1/2024.emnlp-main.279,https://aclanthology.org/2024.emnlp-main.279/,,"primary abstract, metadata, and proceedings record",,"In experiments on argumentative essays and creative stories, disclosure of AI assistance, especially content generation, lowered average quality ratings and increased variation across readers; confidence and prior AI familiarity moderated the effect.",The product needs a disclosure ledger and should measure reader response under the intended disclosure policy rather than assuming that disclosure has no effect on acceptance.,Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,ACL Anthology landing page and linked PDF; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,raw/evidence-doi-017-e-ext-010.json
E-EXT-011,"['Q2', 'Q4']",field-experiment,randomized-experiment,Shifting Work Patterns with Generative AI,"Dillon, Jaffe, Immorlica, and Stanton",2025,10.3386/w33795,https://www.nber.org/papers/w33795,,NBER working-paper abstract and methods summary,Abstract and reported design summary; full-text table and outcome anchors remain to be independently extracted.,"A randomized field experiment across 66 firms and 7,137 knowledge workers found that treated users who adopted the tool spent about two fewer hours per week on email, while the study did not detect changes in the quantity or composition of tasks.","Time savings are a plausible secondary benefit, but the product case must not equate saved time with better documents or accepted research.","The reported time-use endpoint is not document quality or reader acceptance, and adoption is an intermediate outcome.",medium-high,True,RoB 2 domains adapted to the reported outcome,pending,,NBER working-paper landing page and linked revision; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Shifting Work Patterns with Generative AI,2025,raw/evidence-doi-018-e-ext-011.json
E-EXT-012,"['Q2', 'Q4']",field-experiment,primary-empirical-uncoded,Does Writing with Language Models Reduce Content Diversity?,Padmakumar and He,2024,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/02dec8877fb7c6aa9a79f81661baca7c-Abstract-Conference.html,,ICLR proceedings abstract and metadata,,"A controlled experiment comparing unaided writing, GPT-3 assistance, and InstructGPT assistance found a statistically significant reduction in lexical and content diversity with InstructGPT, attributable mainly to model-contributed text.",Cross-document convergence is a product risk and a measured outcome; optimizing one document in isolation is insufficient.,Not yet independently extracted.,high,True,design must be classified before appraisal,pending,,Official ICLR proceedings page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-013,"['Q2', 'Q3']",field-experiment,randomized-experiment,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,"Dell'Acqua, McFowland, Mollick, Lifshitz, Kellogg, Rajendran, Krayer, Candelon, and Lakhani",2026,10.1287/orsc.2025.21838,https://www.hbs.edu/ris/Publication%20Files/dell-acqua-et-al-2026-navigating-the-jagged-technological-frontier_5c589c8c-fbb5-458f-b285-c944746cd717.pdf,,open-access published article abstract and experiment summary,Published abstract and experiment summary; independent outcome-table extraction remains pending.,"In a preregistered field experiment with 758 consultants, GPT-4 improved speed and quality on tasks inside its capability frontier but reduced correctness on tasks outside that frontier despite higher-rated recommendations.",The workflow needs task-boundary checks and factual review; fluent output can conceal a capability mismatch.,Consulting tasks and short-run experimental outcomes do not establish effects on long-form economics manuscripts or reader acceptance.,medium-high,True,RoB 2 domains adapted to the reported outcome,pending,,Open-access Organization Science article PDF hosted by HBS; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,raw/evidence-doi-020-e-ext-013.json
