known_item_id,title,doi,candidate_match_count,search_retrieved,challenge_retrieved,status,matched_titles
KI-01,Experimental evidence on the productivity effects of generative artificial intelligence,10.1126/science.adh2586,2,True,True,pass,Experimental evidence on the productivity effects of generative artificial intelligence | Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence
KI-02,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,10.1145/3491102.3502030,2,True,True,pass,{CoAuthor}: designing a human--{AI} collaborative writing dataset for exploring language model capabilities | CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities
KI-03,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,10.18653/v1/2024.emnlp-main.928,1,True,True,pass,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions
KI-04,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",10.1145/3757566,2,True,True,pass,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process | Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process"
KI-05,Generative AI enhances individual creativity but reduces the collective diversity of novel content,10.1126/sciadv.adn5290,1,True,True,pass,Generative {AI} enhances individual creativity but reduces the collective diversity of novel content
KI-06,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,10.1038/s41746-023-00819-6,1,True,True,pass,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers
KI-07,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,10.1186/s13643-020-01542-z,3,True,True,pass,{PRISMA-S}: An Extension to the {PRISMA} Statement for Reporting Literature Searches in Systematic Reviews | PRISMA-S: An Extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews | PRISMA-S: an extension to the PRISMA statement for reporting literature searches in systematic reviews
KI-08,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,10.18653/v1/2025.acl-long.1254,1,True,True,pass,Help Me Write a Story: Evaluating {LLM}s' Ability to Generate Writing Feedback
KI-09,Shifting Work Patterns with Generative AI,10.3386/w33795,3,True,True,pass,Shifting Work Patterns with Generative {AI} | Shifting Work Patterns with Generative Ai | Shifting Work Patterns with Generative AI
KI-10,Does writing with language models reduce content diversity?,,2,True,True,pass,Does writing with language models reduce content diversity? | Does writing with language models reduce content diversity?
KI-11,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",10.1016/j.jeap.2026.101726,1,True,True,pass,"A Systematic Review of {AI}-Assisted Academic Writing: Tools, Measures, and Effects"
KI-12,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",10.1016/j.asw.2026.101041,1,True,True,pass,"Generative Artificial Intelligence for Automated Writing Evaluation: A Systematic Review of Trends, Efficacy, and Challenges"
KI-13,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,10.18653/v1/2025.emnlp-main.852,1,True,True,pass,Prototypical Human--{AI} Collaboration Behaviors from {LLM}-Assisted Writing in the Wild
KI-14,Generative AI at Work,10.1093/qje/qjae044,4,True,True,pass,Generative {AI} at Work | Generative AI at Work | Generative AI at Work
