screening_id,candidate_identity,known_item,title,source,year,doi,identifier,ai_term_hits,writing_term_hits,screening_decision,screening_reason,reviewer_1,reviewer_2,adjudication,exclusion_code,full_text_url,full_text_verified,screening_notes,selected_for_manual_review
S-0013,doi:10 1515 9781503637900 012,no,11. Human–AI Symbiosis,crossref,2023,10.1515/9781503637900-012,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0065,doi:10 18653 v1 2025 acl industry 49,no,Accelerating Antibiotic Discovery with Large Language Models and Knowledge Graphs,manual-import,2025,10.18653/v1/2025.acl-industry.49,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0127,doi:10 18653 v1 2022 emnlp main 693,no,Adapting a Language Model While Preserving its General Knowledge,manual-import,2022,10.18653/v1/2022.emnlp-main.693,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0408,doi:10 18653 v1 2024 emnlp main 66,no,{AMR}-Evol: Adaptive Modular Response Evolution Elicits Better Knowledge Distillation for Large Language Models in Code Generation,manual-import,2024,10.18653/v1/2024.emnlp-main.66,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0463,doi:10 18653 v1 w17 4208,no,Analyzing the Revision Logs of a {J}apanese Newspaper for Article Quality Assessment,manual-import,2017,10.18653/v1/W17-4208,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0529,title:applying statistical e nglish language modelling symbolic machine translation,no,Applying Statistical {E}nglish Language Modelling to Symbolic Machine Translation,manual-import,1995,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0549,doi:10 31234 osf io xj54a,no,Are Generative AIs like Midjourney and Sora creative? The “Generative AI Mary’s room” thought experiment.,crossref,2024,10.31234/osf.io/xj54a,,1,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0561,doi:10 18653 v1 2024 naacl long 391,no,Are Large Language Model Temporally Grounded?,manual-import,2024,10.18653/v1/2024.naacl-long.391,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0675,doi:10 18653 v1 2023 bea 1 60,no,Assessing the efficacy of large language models in generating accurate teacher responses,manual-import,2023,10.18653/v1/2023.bea-1.60,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0791,title:authorship verification using cloze test large language models,no,Authorship Verification Using Cloze Test with Large Language Models,manual-import,2025,,,2,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0841,title:automated rating esl essays,no,Automated Rating of {ESL} Essays,manual-import,2003,,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0922,doi:10 18653 v1 2024 findings eacl 115,no,Autoregressive Score Generation for Multi-trait Essay Scoring,manual-import,2024,10.18653/v1/2024.findings-eacl.115,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0923,doi:10 18653 v1 2022 findings emnlp 70,no,Autoregressive Structured Prediction with Language Models,manual-import,2022,10.18653/v1/2022.findings-emnlp.70,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1013,doi:10 18653 v1 2023 findings emnlp 674,no,Balaur: Language Model Pretraining with Lexical Semantic Relations,manual-import,2023,10.18653/v1/2023.findings-emnlp.674,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1031,doi:10 18653 v1 2024 inlg demos 1,no,Be My Mate: Simulating Virtual Students for collaboration using Large Language Models,manual-import,2024,10.18653/v1/2024.inlg-demos.1,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1130,doi:10 18653 v1 2025 findings acl 257,no,Better Red Teaming via Searching with Large Language Model,manual-import,2025,10.18653/v1/2025.findings-acl.257,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1170,doi:10 18653 v1 2026 acl long 2060,no,Beyond Fully Random Masking: Attention-Guided Denoising and Optimization for Diffusion Language Models,manual-import,2026,10.18653/v1/2026.acl-long.2060,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1231,doi:10 18653 v1 2025 gebnlp 1 19,no,Bias Attribution in {F}ilipino Language Models: Extending a Bias Interpretability Metric for Application on Agglutinative Languages,manual-import,2025,10.18653/v1/2025.gebnlp-1.19,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1374,doi:10 18653 v1 2020 acl srw 31,no,Building a {J}apanese Typo Dataset from {W}ikipedia{'}s Revision History,manual-import,2020,10.18653/v1/2020.acl-srw.31,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1395,doi:10 18653 v1 2026 findings acl 40,no,{C}$^2${DLM}: Causal Concept-Guided Diffusion Large Language Models,manual-import,2026,10.18653/v1/2026.findings-acl.40,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1397,doi:10 18653 v1 2025 findings acl 116,no,{C}$^2${LEVA}: Toward Comprehensive and Contamination-Free Language Model Evaluation,manual-import,2025,10.18653/v1/2025.findings-acl.116,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1445,doi:10 18653 v1 2026 acl long 1555,no,{C}hi{K}ha{P}o: A Large-Scale Multilingual Benchmark for Evaluating Lexical Comprehension and Generation in Large Language Models,manual-import,2026,10.18653/v1/2026.acl-long.1555,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1508,doi:10 18653 v1 2025 banglalp 1 44,no,{C}o{U}-{CU}-{DSG} at {BLP}-2025 Task 1: Leveraging Weighted Probabilistic Fusion of Language Models for {B}angla Hate Speech Detection,manual-import,2025,10.18653/v1/2025.banglalp-1.44,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1520,doi:10 18653 v1 2023 emnlp main 68,no,{C}ode{T}5+: Open Code Large Language Models for Code Understanding and Generation,manual-import,2023,10.18653/v1/2023.emnlp-main.68,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1573,doi:10 18653 v1 2022 naacl main 102,no,{A}c{T}une: Uncertainty-Based Active Self-Training for Active Fine-Tuning of Pretrained Language Models,manual-import,2022,10.18653/v1/2022.naacl-main.102,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1582,doi:10 18653 v1 2025 babylm main 20,no,{C}ur{LL}: A Developmental Framework to Evaluate Continual Learning in Language Models,manual-import,2025,10.18653/v1/2025.babylm-main.20,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1591,doi:10 18653 v1 2024 findings acl 704,no,Cache {\&} Distil: Optimising {API} Calls to Large Language Models,manual-import,2024,10.18653/v1/2024.findings-acl.704,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1646,doi:10 1073 pnas 2314021121,no,Can Generative AI improve social science?,manual-import,2024,https://doi.org/10.1073/pnas.2314021121,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1664,doi:10 18653 v1 2024 emnlp main 1146,no,Can Language Models Induce Grammatical Knowledge from Indirect Evidence?,manual-import,2024,10.18653/v1/2024.emnlp-main.1146,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1902,doi:10 37514 per b 2026 2777 2 10,no,Chapter 10. Good Prompts Are Sufficient to Produce Good Written Products ✨ Effective Use of Generative AI in Writing Requires Critical AI Literacy,crossref,2026,10.37514/per-b.2026.2777.2.10,,1,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-1970,doi:10 1162 dint a 00235,no,ChatGPT is a Remarkable Tool—For Experts,manual-import,2023,https://doi.org/10.1162/dint_a_00235,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2085,doi:10 1080 02602938 2014 881979,no,Closing the feedback loop: physics undergraduates’ use of feedback comments on laboratory coursework,crossref,2014,10.1080/02602938.2014.881979,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2098,doi:10 18653 v1 2024 emnlp main 928,yes,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,local-bibliography,2024,10.18653/v1/2024.emnlp-main.928,,1,4,known-item-manual-screen-required,Known-item challenge candidate; never auto-exclude.,,,,,,no,,yes
S-2124,doi:10 18653 v1 2022 emnlp main 628,no,{CN}-{A}uto{MIC}: Distilling {C}hinese Commonsense Knowledge from Pretrained Language Models,manual-import,2022,10.18653/v1/2022.emnlp-main.628,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2137,doi:10 1145 3757566,yes,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",known-item-seed,2025,10.1145/3757566,,3,6,known-item-manual-screen-required,Known-item challenge candidate; never auto-exclude.,,,,,,no,,yes
S-2145,doi:10 1145 3491102 3502030,yes,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,known-item-seed,2022,10.1145/3491102.3502030,,3,2,known-item-manual-screen-required,Known-item challenge candidate; never auto-exclude.,,,,,,no,,yes
S-2223,title:combination recurrent neural networks factored language models code switching language modeling,no,Combination of Recurrent Neural Networks and Factored Language Models for Code-Switching Language Modeling,manual-import,2013,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2293,doi:10 1007 s11192 026 05701 2,no,Comparing lexical complexity differences between ChatGPT-generated and human-written medical abstracts,crossref,2026,10.1007/s11192-026-05701-2,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2299,doi:10 1038 s41746 023 00819 6,yes,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,known-item-seed,2023,10.1038/s41746-023-00819-6,,1,1,known-item-manual-screen-required,Known-item challenge candidate; never auto-exclude.,,,,,,no,,yes
S-2363,doi:10 18653 v1 w16 0505,no,Computer-assisted stylistic revision with incomplete and noisy feedback. A pilot study,manual-import,2016,10.18653/v1/W16-0505,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2435,title:construction grammar provides unique insight into neural language models,no,Construction Grammar Provides Unique Insight into Neural Language Models,manual-import,2023,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2447,doi:10 18653 v1 2024 emnlp main 866,no,{CONTESTS}: a Framework for Consistency Testing of Span Probabilities in Language Models,manual-import,2024,10.18653/v1/2024.emnlp-main.866,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2465,title:context free grammar rewriting transfer packed linguistic representations,no,Context-Free Grammar Rewriting and the Transfer of Packed Linguistic Representations,manual-import,2000,,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-2551,doi:10 18653 v1 2025 ijcnlp long 63,no,On the Convergence of Moral Self-Correction in Large Language Models,manual-import,2025,10.18653/v1/2025.ijcnlp-long.63,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
