id,question_ids,source_type,title,authors,year,doi,url,local_path,finding,implication,load_bearing,generated_study_design,generated_appraisal_tool,inspection,claim_anchor,limitations,confidence,appraisal_tool,appraisal_status,reviewer,independent_verification,review_notes
E-EXT-003,"['Q2', 'Q3']",primary-study,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,"Nair, Tan, Su, Gere, Wang, and Wang",2024,10.18653/v1/2024.emnlp-main.928,https://aclanthology.org/2024.emnlp-main.928/,,"The paper studies generated writing feedback and evaluates it on an economic essay assignment, while explicitly noting that the effectiveness of model feedback on student revision is not settled.","Feedback quality must be evaluated by resulting revision performance, not by the apparent helpfulness of the feedback text.",True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-004,['Q4'],primary-study,Generative AI enhances individual creativity but reduces the collective diversity of novel content,Doshi and Hauser,2024,10.1126/sciadv.adn5290,https://doi.org/10.1126/sciadv.adn5290,,The study experimentally examines individual creative performance and collective diversity under generative AI assistance.,The product needs population-level convergence monitoring and must not optimize every document toward one house style.,True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-005,"['Q1', 'Q3']",primary-study,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,Gao et al.,2023,10.1038/s41746-023-00819-6,https://www.nature.com/articles/s41746-023-00819-6,,The study compares 50 real abstracts with 50 ChatGPT-generated abstracts and includes blinded human review alongside detector measurements.,Detector performance and human quality judgments must be reported as different endpoints; neither is an authorship verdict.,True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-006,"['Q4', 'Q6']",systematic-review,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",Reza et al.,2025,,https://arxiv.org/abs/2504.12488,,"The review reports a PRISMA-based analysis of 109 HCI papers selected from more than 1,600 records, with attention to agency and ownership across planning, translation, reviewing, and monitoring.","The implementation should expose ownership and review boundaries explicitly and should treat the writing process, not just the final text, as an evaluation object.",True,systematic-review,design must be classified before appraisal,,,,,,,,,
E-EXT-007,"['Q2', 'Q3']",primary-study,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,"Rashkin, Clark, Huot, and Lapata",2025,10.18653/v1/2025.acl-long.1254,https://aclanthology.org/2025.acl-long.1254/,,"The authors introduce a 1,300-story test set with intentionally corrupted writing and evaluate model feedback with automatic and human measures. Models often give specific and mostly accurate comments but fail to identify the most important problem and to choose appropriately between critical and positive feedback.","Humanvoice should rank feedback by issue importance, expose uncertainty, and test whether the writer's next revision addresses the highest-impact defect instead of rewarding fluent commentary.",True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-008,"['Q2', 'Q3']",primary-study,Using Large Language Models to Assess Young Students' Writing Revisions,"Li, Liu, Matsumura, Wang, Litman, and Correnti",2024,,https://aclanthology.org/2024.bea-1.30/,,"GPT-4 showed potential for assessing revision quality when detailed rubrics described common revision patterns, but agreement with human ratings varied across writing-proficiency levels and chain-of-thought prompting did not materially improve the result.",A judge must be calibrated by rubric and proficiency/domain slice; a generic score or longer reasoning trace is not evidence of validity.,True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-010,"['Q4', 'Q6']",primary-study,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,"Li, Liang, Peng, and Yin",2024,10.18653/v1/2024.emnlp-main.279,https://aclanthology.org/2024.emnlp-main.279/,,"In experiments on argumentative essays and creative stories, disclosure of AI assistance, especially content generation, lowered average quality ratings and increased variation across readers; confidence and prior AI familiarity moderated the effect.",The product needs a disclosure ledger and should measure reader response under the intended disclosure policy rather than assuming that disclosure has no effect on acceptance.,True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-011,"['Q2', 'Q4']",field-experiment,Shifting Work Patterns with Generative AI,"Dillon, Jaffe, Immorlica, and Stanton",2025,10.3386/w33795,https://www.nber.org/papers/w33795,,"A randomized field experiment across 66 firms and 7,137 knowledge workers found that treated users who adopted the tool spent about two fewer hours per week on email, while the study did not detect changes in the quantity or composition of tasks.","Time savings are a plausible secondary benefit, but the product case must not equate saved time with better documents or accepted research.",True,randomized-experiment,RoB 2 domains adapted to the reported outcome,,,,,,,,,
E-EXT-012,"['Q2', 'Q4']",field-experiment,Does Writing with Language Models Reduce Content Diversity?,Padmakumar and He,2024,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/02dec8877fb7c6aa9a79f81661baca7c-Abstract-Conference.html,,"A controlled experiment comparing unaided writing, GPT-3 assistance, and InstructGPT assistance found a statistically significant reduction in lexical and content diversity with InstructGPT, attributable mainly to model-contributed text.",Cross-document convergence is a product risk and a measured outcome; optimizing one document in isolation is insufficient.,True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-013,"['Q2', 'Q3']",field-experiment,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,"Dell'Acqua, McFowland, Mollick, Lifshitz, Kellogg, Rajendran, Krayer, Candelon, and Lakhani",2026,10.1287/orsc.2025.21838,https://www.hbs.edu/ris/Publication%20Files/dell-acqua-et-al-2026-navigating-the-jagged-technological-frontier_5c589c8c-fbb5-458f-b285-c944746cd717.pdf,,"In a preregistered field experiment with 758 consultants, GPT-4 improved speed and quality on tasks inside its capability frontier but reduced correctness on tasks outside that frontier despite higher-rated recommendations.",The workflow needs task-boundary checks and factual review; fluent output can conceal a capability mismatch.,True,randomized-experiment,RoB 2 domains adapted to the reported outcome,,,,,,,,,
E-EXT-014,"['Q1', 'Q3']",primary-study,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,"Fleckenstein, Meyer, Jansen, Keller, Koller, and Moller",2024,10.1016/j.caeai.2024.100209,https://www.sciencedirect.com/science/article/pii/S2666920X24000109,,"Across experiments with novice and experienced teachers, participants generally could not identify ChatGPT essays among student writing and were overconfident in their judgments; source disclosure also affected quality judgments heterogeneously.","Human readers are necessary but not infallible; acceptance studies need blinded, repeated judgments and confidence reporting rather than a single reader label.",True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
E-EXT-015,"['Q1', 'Q3', 'Q6']",primary-study,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,"Mugaanyi, Cai, Cheng, Lu, and Huang",2024,10.2196/52935,https://www.jmir.org/2024/1/e52935/,,"Two researchers prompted GPT-3.5 to write introductions with citations across ten topics. Only 72.7% of generated natural-science citations and 76.6% of humanities citations were confirmed to exist, with substantial DOI errors and disciplinary differences.","Citation resolution and source verification must be deterministic product functions, not optional editing advice.",True,primary-empirical-uncoded,design must be classified before appraisal,,,,,,,,,
