source,query,mode,status,started_at,result_count,error,raw_response,raw_sha256
openalex,generative AI writing,broad,http-429,2026-08-24T18:36:28+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19412,""costUsd"":0.001,""daily",raw/openalex-001.json,99d454e73da6ce78e91f005cf9f78ebffc768ad39603c36bd2f96be5ce47c54f
openalex,large language model academic writing,broad,http-429,2026-08-24T18:36:29+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19410,""costUsd"":0.001,""daily",raw/openalex-002.json,468935967fb637556445f8fe17ad6dd982f94099e7944676a586e5444ee04ce6
openalex,human AI collaborative writing,broad,http-429,2026-08-24T18:36:30+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19410,""costUsd"":0.001,""daily",raw/openalex-003.json,468935967fb637556445f8fe17ad6dd982f94099e7944676a586e5444ee04ce6
openalex,LLM writing feedback,broad,http-429,2026-08-24T18:36:30+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19410,""costUsd"":0.001,""daily",raw/openalex-004.json,468935967fb637556445f8fe17ad6dd982f94099e7944676a586e5444ee04ce6
openalex,ChatGPT scientific writing,broad,http-429,2026-08-24T18:36:30+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19409,""costUsd"":0.001,""daily",raw/openalex-005.json,1c9195b5eaf19b599374d2cb55f758519f1c3d1b2b795ce28f93e0f91ceb37d7
openalex,generative AI prose quality,broad,http-429,2026-08-24T18:36:31+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19409,""costUsd"":0.001,""daily",raw/openalex-006.json,1c9195b5eaf19b599374d2cb55f758519f1c3d1b2b795ce28f93e0f91ceb37d7
openalex,AI-assisted writing evaluation,broad,http-429,2026-08-24T18:36:31+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19409,""costUsd"":0.001,""daily",raw/openalex-007.json,1c9195b5eaf19b599374d2cb55f758519f1c3d1b2b795ce28f93e0f91ceb37d7
openalex,AI writing economics,broad,http-429,2026-08-24T18:36:31+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19409,""costUsd"":0.001,""daily",raw/openalex-008.json,1c9195b5eaf19b599374d2cb55f758519f1c3d1b2b795ce28f93e0f91ceb37d7
openalex,generative AI revision feedback,broad,http-429,2026-08-24T18:36:31+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19409,""costUsd"":0.001,""daily",raw/openalex-009.json,1c9195b5eaf19b599374d2cb55f758519f1c3d1b2b795ce28f93e0f91ceb37d7
openalex,AI assisted essay revision,broad,http-429,2026-08-24T18:36:31+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":19408,""costUsd"":0.001,""daily",raw/openalex-010.json,c59d29372ba7e0dd35b9f2e26258db2b1863e92a59d265f1e89e043d4c6ba89c
