name,category,ecosystem,url,repository,source,manifest_commit,local_path,local_present,local_commit,provenance_status,license_file,registry_version,registry_release,registry_license,registry_status,readme,test_file_count,languages,description,stars,updated_at
fast-detect-gpt,ai-detector,,,https://github.com/baoguangsheng/fast-detect-gpt,vendor-manifest,971b05202bac2bb504d60c0ac0812fea7a8f7c82,vendor/fast-detect-gpt,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".py:16, .md:1, .txt:1",,,
slop-forensics,ai-tell-diagnostic,,,https://github.com/sam-paech/slop-forensics,vendor-manifest,c313f042620f027d49101da3256bd306b628071a,vendor/slop-forensics,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".py:9, .pyc:9, .md:1, .txt:1",,,
sloptrim,ai-tell-diagnostic,,,https://github.com/seyedehsanhadi/sloptrim,vendor-manifest,4daf5ba58be10683bdbfe9125634aef02d17caa9,vendor/sloptrim,True,,vendored-manifest-pin,LICENSE.txt,,,,,True,18,".py:20, .md:10, .js:7, .svg:6, .json:4",,,
stop-slop,ai-tell-diagnostic,,,https://github.com/hardikpandya/stop-slop,vendor-manifest,8da1f030185bdfe8471220585162991eaeb970e9,vendor/stop-slop,True,,vendored-manifest-pin,LICENSE,,,,,True,0,.md:6,,,
GROBID,citation-validation,java,https://grobid.readthedocs.io/en/latest/Introduction/,https://github.com/kermitt2/grobid,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
Pandoc,document-conversion,haskell,https://pandoc.org/,https://github.com/jgm/pandoc,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
latexdiff,document-diff,perl,https://www.ctan.org/pkg/latexdiff,https://github.com/ftilmann/latexdiff,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
academic-humanizer,editing-guidance,,,https://github.com/AIScientists-Dev/academic-humanizer,vendor-manifest,94b88b23703bed7df507acae7d6d5876209a0cdf,vendor/academic-humanizer,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".md:3, .svg:3, .png:2",,,
avoid-ai-writing,editing-guidance,,,https://github.com/conorbronsdon/avoid-ai-writing,vendor-manifest,b504e2086bd3e544615afba7e5c7f31c8eade1d0,vendor/avoid-ai-writing,True,,vendored-manifest-pin,LICENSE,,,,,True,6,".js:14, .md:13, .json:6, .yml:6, .sh:3",,,
humanizer,editing-guidance,,,https://github.com/blader/humanizer,vendor-manifest,e2e92e7b4b8229253ed5c8e81dc65463fdeddda5,vendor/humanizer,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".md:3, .json:2, .py:1, .yaml:1, .yml:1",,,
taste-skill,editing-guidance,,,https://github.com/leonxlnx/taste-skill,vendor-manifest,dfb6f9f9e93a39f673b1827c0889cc28326d1800,vendor/taste-skill,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".md:29, .webp:12, .svg:6, .mjs:4, .json:2",,,
LanguageTool,grammar-style,java,https://languagetool.org/,https://github.com/languagetool-org/languagetool,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
LaTeXML,latex-parsing,perl,https://dlmf.nist.gov/LaTeXML/,https://github.com/brucemiller/LaTeXML,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
plasTeX,latex-parsing,python,https://plastex.github.io/plastex/,https://github.com/plastex/plastex,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
pylatexenc,latex-parsing,python,https://pylatexenc.readthedocs.io/en/latest/,https://github.com/phfaist/pylatexenc,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
