id,question_ids,source_type,study_design,title,authors,year,doi,url,local_path,inspection,claim_anchor,finding,implication,limitations,confidence,load_bearing,appraisal_tool,appraisal_status,source_hash,source_provenance,audit_status,reviewer,independent_verification,identity_status,canonical_title,canonical_year,identity_raw_response
E-INT-001,"['Q1', 'Q2', 'Q3', 'Q6']",internal-case-record,not-applicable,Humanvoice internal failure record across five projects,Humanvoice project records,2026,,../part1_failures.tex,docs/survey/part1_failures.tex,full local source,,"The internal cases describe layered failures in register, mechanical tells, defensive prose, and substance. The ZLB rescue required five human-feedback rounds; SMEwallet records unit-level acceptance but explicitly does not claim whole-document acceptance.",The product must measure reader acceptance and preserve source meaning; surface style scores cannot be the sole gate.,,high,True,not-applicable,not-applicable,937c0a91e344c57d7840984157277da75b74fd81575709c1a43d71900b7424d0,Checked-in local source docs/survey/part1_failures.tex; inspected during the 2026-08-22 audit pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-INT-002,"['Q5', 'Q6']",internal-package-audit,not-applicable,Existing humanvoice package audit and calibration,Humanvoice project records,2026,,../part4_oss.tex,docs/survey/part4_oss.tex,full local source and checked-in vendor tree,,"The existing audit covers a narrow set of prose and AI-tell tools, records a useful sloptrim calibration, and does not establish that any tool reduces human-feedback rounds.","Adoption must be based on a held-out corpus benchmark and explicit package provenance, not on a README or popularity score.",,high,True,not-applicable,not-applicable,4cc388aaede1c29e820a5e0e5ddfedc7829db3048a226fc334bd533c1c779c74,Checked-in local source docs/survey/part4_oss.tex and vendor tree; inspected during the 2026-08-22 audit pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-001,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Experimental evidence on the productivity effects of generative artificial intelligence,Noy and Zhang,2023,10.1126/science.adh2586,https://ui.adsabs.harvard.edu/abs/2023Sci...381..187N/abstract,,primary abstract and metadata,,A preregistered online experiment assigned occupation-specific writing tasks to 453 college-educated professionals. The abstract reports lower completion time and higher evaluated output quality with ChatGPT assistance.,Productivity and quality are distinct outcomes; humanvoice must measure both and must not infer reader acceptance from speed alone.,Not yet independently extracted.,medium,False,design must be classified before appraisal,pending,,Science article metadata/abstract landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-002,"['Q1', 'Q4']",primary-study,primary-empirical-uncoded,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,"Lee, Liang, and Yang",2022,10.1145/3491102.3502030,https://arxiv.org/abs/2201.06796,,primary abstract and metadata,,"CoAuthor contains interaction traces from 63 writers and 1,445 writing sessions with four GPT-3 instances, enabling analysis of language, ideation, and collaboration behavior.","Evaluation should preserve interaction traces and distinguish assistance during planning, drafting, and revision rather than treating a document as a single output.",Not yet independently extracted.,medium,False,design must be classified before appraisal,pending,,ACM/arXiv public metadata and abstract landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-003,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,"Nair, Tan, Su, Gere, Wang, and Wang",2024,10.18653/v1/2024.emnlp-main.928,https://aclanthology.org/2024.emnlp-main.928/,,"primary abstract, metadata, and proceedings record",,"The paper studies generated writing feedback and evaluates it on an economic essay assignment, while explicitly noting that the effectiveness of model feedback on student revision is not settled.","Feedback quality must be evaluated by resulting revision performance, not by the apparent helpfulness of the feedback text.",Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,ACL Anthology landing page and linked paper; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-004,['Q4'],primary-study,primary-empirical-uncoded,Generative AI enhances individual creativity but reduces the collective diversity of novel content,Doshi and Hauser,2024,10.1126/sciadv.adn5290,https://doi.org/10.1126/sciadv.adn5290,,primary landing page and abstract-level record,,The study experimentally examines individual creative performance and collective diversity under generative AI assistance.,The product needs population-level convergence monitoring and must not optimize every document toward one house style.,Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,Science Advances article landing page and abstract; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-005,"['Q1', 'Q3']",primary-study,primary-empirical-uncoded,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,Gao et al.,2023,10.1038/s41746-023-00819-6,https://www.nature.com/articles/s41746-023-00819-6,,primary article abstract and metadata,,The study compares 50 real abstracts with 50 ChatGPT-generated abstracts and includes blinded human review alongside detector measurements.,Detector performance and human quality judgments must be reported as different endpoints; neither is an authorship verdict.,Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,NPJ Digital Medicine article landing page and abstract; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-006,"['Q4', 'Q6']",systematic-review,systematic-review,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",Reza et al.,2025,,https://arxiv.org/abs/2504.12488,,primary preprint abstract and methods summary,,"The review reports a PRISMA-based analysis of 109 HCI papers selected from more than 1,600 records, with attention to agency and ownership across planning, translation, reviewing, and monitoring.","The implementation should expose ownership and review boundaries explicitly and should treat the writing process, not just the final text, as an evaluation object.",Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,Public arXiv preprint landing page and methods summary; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-METHOD-001,['Q6'],reporting-guideline,not-applicable,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,Rethlefsen et al.,2021,10.1186/s13643-020-01542-z,https://www.prisma-statement.org/prisma-search,,official PRISMA-S page,,"PRISMA-S specifies sixteen items for transparently reporting literature searches, including sources, strategies, dates, and record management.",Humanvoice must preserve the full search and screening trail instead of presenting only the final bibliography.,,high,True,not-applicable,not-applicable,,Official PRISMA-S statement page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-SW-001,['Q5'],software-documentation,not-applicable,Vale documentation,Vale maintainers,2026,,https://docs.vale.sh/,,official documentation,,Vale provides code-like linting for prose and supports configurable rules and targeted text segments.,"A deterministic measurement layer is feasible, but rule output must remain separate from reader acceptance.",,high,True,not-applicable,not-applicable,,Official Vale documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-002,['Q5'],software-documentation,not-applicable,textlint documentation and repository,textlint maintainers,2026,,https://github.com/textlint/textlint,,official repository,,textlint is a pluggable natural-language linter with machine-readable formatter options.,"The implementation can compose format-aware diagnostics, provided LaTeX mapping and false positives are benchmarked.",,high,True,not-applicable,not-applicable,,Official textlint repository; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-METHOD-002,['Q6'],search-infrastructure,not-applicable,OpenAlex search documentation,OpenAlex maintainers,2026,,https://help.openalex.org/api/searching/,,official API documentation,,"OpenAlex documents reproducible Boolean, phrase, proximity, fuzzy, and semantic search modes over scholarly works.",Search queries can be versioned and replayed rather than relying on an agent's memory or an opaque browser session.,,high,True,not-applicable,not-applicable,,Official OpenAlex API documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-METHOD-003,['Q6'],search-infrastructure,not-applicable,Crossref REST API documentation,Crossref maintainers,2026,,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,,official API documentation,,"Crossref exposes searchable scholarly metadata, DOI lookup, filters, and JSON responses through a public REST API.",Bibliographic identity and DOI provenance can be checked independently of an LLM-generated reference list.,,high,True,not-applicable,not-applicable,,Official Crossref REST API documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
