screening_id,candidate_identity,known_item,title,source,year,doi,identifier,ai_term_hits,writing_term_hits,screening_decision,screening_reason,reviewer_1,reviewer_2,adjudication,exclusion_code,full_text_url,full_text_verified,screening_notes,selected_for_manual_review
S-0001,doi:10 61686 rhorw76569,no,,crossref,,10.61686/rhorw76569,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0002,doi:10 61686 ttwvn01681,no,,crossref,,10.61686/ttwvn01681,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0003,doi:10 3030 957027,no,,crossref,,10.3030/957027,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0004,doi:10 52044 hfsp lt00512024 l pc gr 195455,no,,crossref,,10.52044/hfsp.lt00512024-l.pc.gr.195455,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0005,doi:10 18653 v1 2024 emnlp main 743,no,1+1{\ensuremath{>}}2: Can Large Language Models Serve as Cross-Lingual Knowledge Aggregators?,manual-import,2024,10.18653/v1/2024.emnlp-main.743,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0006,doi:10 18653 v1 2025 findings emnlp 765,no,1+1{\ensuremath{>}}2: A Synergistic Sparse and Low-Rank Compression Method for Large Language Models,manual-import,2025,10.18653/v1/2025.findings-emnlp.765,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0007,doi:10 1299 jsmemag 127 1262 66,no,第1回　AI Usage in Academic Writing(Academic writing and AI),crossref,2024,10.1299/jsmemag.127.1262_66,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0008,doi:10 3138 9781487582890 002,no,1. The Background,crossref,1956,10.3138/9781487582890-002,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0009,doi:10 1515 9781474473644 004,no,1 Scribble (writing-power),crossref,2019,10.1515/9781474473644-004,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0010,doi:10 1515 9781503637900 011,no,10. AI as Jeeves,crossref,2023,10.1515/9781503637900-011,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0011,doi:10 1515 9781474473644 013,no,10 Khora,crossref,2019,10.1515/9781474473644-013,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
