title,authors,year,doi,url,abstract,database,identifier
The Theory and Implementation of InputValidator: A Semi- Automated Value-Level Bypass Testing Tool,J. Miller & L. Zhang & E. Ofuonye & M. Smith,2008,,https://ideas.repec.org/a/igg/jitwe0/v3y2008i3p28-45.html,"One of the principal vulnerabilities in Webbased systems revolves around insufficient and inappropriate input validation , a deficiency that can be exploited by attacks that bypass client-side checking. This article describes a partially automated mechanism, the tool InputValidator, which seeks to address this issue by sending test data directly to the server to test the robustness and security of the back-end software. The tool allows a user to construct, execute, and evaluate a number of test cases through a formfilling exercise instead of writing bespoke test code.",RePEc/IDEAS,RePEc:igg:jitwe0:v:3:y:2008:i:3:p:28-45
Learner Fit in Scaling Up Automated Writing Evaluation,Elena Cotos & Sarah Huffman,2013,,https://ideas.repec.org/a/igg/jcallt/v3y2013i3p77-98.html,"Valid evaluations of automated writing evaluation (AWE) design, development, and implementation should integrate the learners’ perspective in order to ensure the attainment of desired outcomes. This paper explores the learner fit quality of the Research Writing Tutor (RWT), an emerging AWE tool tested with L2 writers at an early stage of its development.",RePEc/IDEAS,RePEc:igg:jcallt:v:3:y:2013:i:3:p:77-98
"Joanne C. Preston: Integrating Disciplines, Expanding Paradigms",Jeanne D. Maes & Kenneth L. Wall & David B. Szabla & William A. Pasmore & Mary A. Barnes & Asha N. Gipson,2017,,https://ideas.repec.org/h/spr/sprchp/978-3-319-52878-6_89.html,"Preston has emerged on the forefront as a scholar-practitioner in her quest to “make the workplace healthier.” Building on her Russian, French, and German language skills and her solid foundation in developmental psychology, she has pushed the boundaries of traditional organization development and change (ODC). Preston has taken the best of family therapy practice and applied its interventions to small business and workplace problems, producing results sufficiently substantial to catch the attention of international business owners. Her interventions in large systems change and her astute ability to create superordinate goals were instrumental in South Africa’s transformation from apartheid and in Poland’s change from communism to a free market society. ... She has cut across the typical discipline boundaries of psychology, business, and education and, by using technology, she has created new models of education for graduate students, linking global teams in workplace settings.",RePEc/IDEAS,RePEc:spr:sprchp:978-3-319-52878-6_89
An automated approach to the quantitation of vocalizations and vocal learning in the songbird,David G Mets & Michael S Brainard,2018,,https://ideas.repec.org/a/plo/pcbi00/1006437.html,"We present a novel, automated approach to evaluating imitative learning. ... We validate our approach through examination of songbird vocalizations, complex learned behaviors the study of which has provided many insights into sensory-motor learning in general and vocal learning in particular. ... We show that our measure of song learning (the Kullback-Leibler divergence between two distributions corresponding to specific song data, or, Song DKL) is well correlated with human evaluation of song learning. ... However, many behaviors (e.g. speaking, walking, and writing ) are complex and multidimensional, confounding the assessment of learning. ... We show that this measure provides a holistic and automated assessment of vocal learning in Estrildid finches that is consistent with human assessment.",RePEc/IDEAS,RePEc:plo:pcbi00:1006437
Ai Is Learning How To Write .,Dan Valeriu VOINEA,2021,,https://ideas.repec.org/a/edt/jsserr/v8y2021i1p301-311.html,"This paper examines the ethical problems arising from AI -generated content in news production, drawing on established media ethics principles and emerging AI ethics frameworks. ... Early examples, such as automation by the Associated Press and errors following AI adoption at Microsoft's MSN, illustrate these tensions. ... It argues for robust human oversight, treating AI as a tool requiring verification and editorial judgment, rather than an autonomous author. Suggestions for navigating the future include developing dynamic ethical guidelines, enhancing AI literacy through training, fostering cross-disciplinary collaboration , prioritizing AI applications that augment human capabilities, engaging proactively with regulation, and maintaining an unwavering focus on audience trust. The paper concludes that conscientious, ethical integration is crucial for harnessing AI's benefits while safeguarding journalistic integrity.",RePEc/IDEAS,RePEc:edt:jsserr:v:8:y:2021:i:1:p:301-311
"Preston, Joanne C.: Integrating Disciplines, Expanding Paradigms",Jeanne D. Maes & Kenneth L. Wall & David B. Szabla,2021,,https://ideas.repec.org/h/spr/sprchp/978-3-030-38324-4_89.html,"Preston has emerged on the forefront as a scholar-practitioner in her quest to “make the workplace healthier.” Building on her Russian, French, and German language skills and her solid foundation in developmental psychology, she has pushed the boundaries of traditional organization development and change (ODC). Preston has taken the best of family therapy practice and applied its interventions to small business and workplace problems, producing results sufficiently substantial to catch the attention of international business owners. Her interventions in large systems change and her astute ability to create superordinate goals were instrumental in South Africa’s transformation from apartheid and in Poland’s change from communism to a free market society. ... She has cut across the typical discipline boundaries of psychology, business, and education and, by using technology, she has created new models of education for graduate students, linking global teams in workplace settings.",RePEc/IDEAS,RePEc:spr:sprchp:978-3-030-38324-4_89
"Validating an Automated System of Evaluation for English Drafting Skill: A Case of Large-scale, High-stakes Selection of Entry-level Managerial Positions",A. K. Konar & Ayesha Martin & Sombala Ningthoujam,2023,,https://ideas.repec.org/a/sae/metjou/v22y2023i1p18-27.html,"In the context of large-scale writing assessments, automated scoring could provide superior results to human scoring in terms of validity and reliability. In the present study, an attempt has been made to validate an automated essay scoring (AES) algorithm. ... The evaluation of the descriptive (constructed response) component of the examination (English composition) was carried out parallelly by four expert human raters and the AES algorithm. The parameters for evaluation were devised and made available to raters and the algorithm. ... Results show that the mean scores of human expert raters ( M = 14.648) and automated algorithm method ( M = 15.804) were similar.",RePEc/IDEAS,RePEc:sae:metjou:v:22:y:2023:i:1:p:18-27
Antonym and Oppositeness: A Cognitive Training Approach of Thinking in English Writing in the AI Era,Xiaohui Liang & Yuwei Huang & Yuanyuan Wang,2024,,https://ideas.repec.org/a/cwi/cinnov/v2y2024i2p1-10.html,"Oppositeness is not necessarily identical to antonym, but it imparts wisdom in the teaching of writing , particularly in era of AI . Starting from the “construction of oppositeness” in cognitive realm, this paper explores the foundation of writing with innovative thinking, which aims to cultivate innovative ability and counteract the impact of AI writing . ... Adopting a reverse mindset (oppositeness) aids in averting monotony in writing while AI - generated content can occasionally become repetitive and monotonous. ... As a creative thinking technique in writing , it serves as a potent tool for human writers to uphold their pertinence and distinctiveness amidst the proliferation of AI - generated content. ... While AI can generate content based on preexisting data and patterns, genuine creativity nurtures groundbreaking ideas and perspectives that transcend the limitations of an AI's dataset.",RePEc/IDEAS,RePEc:cwi:cinnov:v:2:y:2024:i:2:p:1-10
Generative AI writing technologies,Torrey Trust & Robert W. Maloy & GearÃ³id Ã“ SÃºilleabhÃ¡in & Donna Lanclos & Tom Farrelly,2024,,https://ideas.repec.org/h/elg/eechap/22284_9.html,"Generative AI writing tools, including Open AI’s ChatGPT and Google’s Bard, have emerged as powerful and potentially transformative educational technologies. This chapter examines AI writing tools using ChatGPT as an example, discussing how they function, their benefits and risks, and how they complicate and disrupt writing . We offer implications for practitioners, including the need for a critical evaluation of writing in the era of AI writing technologies, the necessity of a critical investigation of AI writing technologies before using them, and the importance of including student voices when designing AI -specific academic integrity norms and policies.",RePEc/IDEAS,RePEc:elg:eechap:22284_9
Guidelines for writing software building reports,Annier Jesús Fajardo Quesada & René Herrero Pacheco,2024,,https://ideas.repec.org/a/dbk/gammif/v2y2024ip39id39.html,"The linkage of software with various areas of knowledge has increased significantly, highlighting the importance of process automation thanks to the expansion of imaginative capabilities in this area. ... This landscape demands standardized methods for the creation and dissemination of applications, although there is currently no detailed guidance for writing reports on software creation. It is crucial to adopt methodological guidelines that allow the reproducibility of software research, clearly differentiating between the creation and the evaluation - validation of these tools. ... The article proposes a detailed outline for writing software development reports, covering from the introduction, method, results, to the discussion and conclusions. This outline covers aspects such as the theoretical and historical framework, the importance and necessity of the product, classification of the study, details of the creation process, technologies used, and software evaluation .",RePEc/IDEAS,RePEc:dbk:gammif:v:2:y:2024:i::p:39:id:39
