evidence_id,expected_doi,expected_title,expected_year,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error
E-INT-001,,Humanvoice internal failure record across five projects,2026,,,,,not-applicable-no-doi,,,
E-INT-002,,Existing humanvoice package audit and calibration,2026,,,,,not-applicable-no-doi,,,
E-EXT-001,10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023,10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023,1.0,verified,raw/evidence-doi-003-e-ext-001.json,32e6648993cda882403094bda127351f2bf54b634c397af2737130147a51680a,
E-EXT-002,10.1145/3491102.3502030,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,2022,10.1145/3491102.3502030,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,2022,1.0,verified,raw/evidence-doi-004-e-ext-002.json,d1c62385a77d4b28aead1d721a27a0448097cecbe36f03d8b231e8f303aedbef,
E-EXT-003,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,1.0,verified,raw/evidence-doi-005-e-ext-003.json,edcf364c479f1bd28a2aab8bbededef5606c67fe350be3c40b83633d5df51740,
E-EXT-004,10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,1.0,verified,raw/evidence-doi-006-e-ext-004.json,6b39a267a7c67f1be86f4e4448c1d6daf275ab489d3139aae118ca4d7c6ee4d3,
E-EXT-005,10.1038/s41746-023-00819-6,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,2023,10.1038/s41746-023-00819-6,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,2023,1.0,verified,raw/evidence-doi-007-e-ext-005.json,e01e3fa83895a616eb1fc65c35b10a4d01bea55b6af21627236fbfc909ef73da,
E-EXT-006,,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",2025,,,,,not-applicable-no-doi,,,
E-METHOD-001,10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,1.0,verified,raw/evidence-doi-009-e-method-001.json,8e08ddb12de2aaeae1e7f235d8189d15b329f0b40efbbf73f3d3ce8f6e9d9f2e,
E-SW-001,,Vale documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-002,,textlint documentation and repository,2026,,,,,not-applicable-no-doi,,,
E-METHOD-002,,OpenAlex search documentation,2026,,,,,not-applicable-no-doi,,,
E-METHOD-003,,Crossref REST API documentation,2026,,,,,not-applicable-no-doi,,,
E-EXT-007,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,2025,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating LLMs’ Ability to Generate Writing Feedback,2025,1.0,verified,raw/evidence-doi-014-e-ext-007.json,0d1f3927eebaadf3b4f20396a13b4210b2c261f47e310e20f1c0730180a552f5,
E-EXT-008,,Using Large Language Models to Assess Young Students' Writing Revisions,2024,,,,,not-applicable-no-doi,,,
