name,category,ecosystem,url,repository,source,manifest_commit,local_path,local_present,local_commit,provenance_status,license_file,registry_version,registry_release,registry_license,registry_status,readme,test_file_count,languages,description,stars,updated_at
fast-detect-gpt,ai-detector,,,https://github.com/baoguangsheng/fast-detect-gpt,vendor-manifest,971b05202bac2bb504d60c0ac0812fea7a8f7c82,vendor/fast-detect-gpt,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".py:16, .md:1, .txt:1",,,
slop-forensics,ai-tell-diagnostic,,,https://github.com/sam-paech/slop-forensics,vendor-manifest,c313f042620f027d49101da3256bd306b628071a,vendor/slop-forensics,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".py:9, .pyc:9, .md:1, .txt:1",,,
sloptrim,ai-tell-diagnostic,,,https://github.com/seyedehsanhadi/sloptrim,vendor-manifest,4daf5ba58be10683bdbfe9125634aef02d17caa9,vendor/sloptrim,True,,vendored-manifest-pin,LICENSE.txt,,,,,True,18,".py:20, .md:10, .js:7, .svg:6, .json:4",,,
stop-slop,ai-tell-diagnostic,,,https://github.com/hardikpandya/stop-slop,vendor-manifest,8da1f030185bdfe8471220585162991eaeb970e9,vendor/stop-slop,True,,vendored-manifest-pin,LICENSE,,2026-03-17T18:50:39Z,MIT,metadata-retrieved,True,0,.md:6,,16306,2026-03-17T18:50:39Z
GROBID,citation-validation,java,https://grobid.readthedocs.io/en/latest/Introduction/,https://github.com/kermitt2/grobid,protocol-seed,,,False,,remote-only,,,2026-08-23T21:09:04Z,Apache-2.0,metadata-retrieved,False,0,,,5100,2026-08-23T21:09:04Z
111-2-Text-Analysis-App,discovered,github-search,https://github.com/TYH-00/111-2-Text-Analysis-App,https://github.com/TYH-00/111-2-Text-Analysis-App,github-search,,,False,,remote-only,,,,,,False,0,,#linguistic_feature #readability,0,2024-04-23T12:06:18Z
6f02d74f-ai-writing-coach-chrome-extens,discovered,github-search,https://github.com/ncreighton/6f02d74f-ai-writing-coach-chrome-extens,https://github.com/ncreighton/6f02d74f-ai-writing-coach-chrome-extens,github-search,,,False,,remote-only,,,,,,False,0,,"Real-time AI writing coach for your browser. Get instant feedback on tone, clarity, and impact—works on Gmail, LinkedIn, Slack, and everywhere you write.",0,2026-05-16T10:04:55Z
AI-Academic-Reviewer-Comments-Helper,discovered,github-search,https://github.com/Sba-Stuff/AI-Academic-Reviewer-Comments-Helper,https://github.com/Sba-Stuff/AI-Academic-Reviewer-Comments-Helper,github-search,,,False,,remote-only,,,,,,False,0,,"AI powered structured framework that assists academa authors in crafting effective responses to reviewer comments. Provides a structured framework for addressing reviewer feedback, facilitating clear and concise writing.",0,2026-04-25T16:45:40Z
AI-Writing-Coach-Chatbot-,discovered,github-search,https://github.com/praneethkumar125/AI-Writing-Coach-Chatbot-,https://github.com/praneethkumar125/AI-Writing-Coach-Chatbot-,github-search,,,False,,remote-only,,,,,,False,0,,"An AI-powered writing assistant that helps improve your writing style, grammar, clarity, and tone. Whether you're drafting an email, article, or academic paper, the AI Writing Coach provides real-time suggestions, edits, and feedback to enhance your writing.",0,2025-04-18T06:52:46Z
AI-writing-feedback,discovered,github-search,https://github.com/Big-Jak/AI-writing-feedback,https://github.com/Big-Jak/AI-writing-feedback,github-search,,,False,,remote-only,,,,,,False,0,,"An AI-powered web app built with Flask, HTML/CSS, and Claude API that gives students real-time, rubric-based feedback on academic essay drafts. Evaluates grammar, structure, clarity, and content development in seconds to make writing support accessible.",0,2026-08-04T21:41:36Z
