evidence_id,expected_doi,expected_title,expected_year,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error
E-INT-001,,Humanvoice internal failure record across five projects,2026,,,,,not-applicable-no-doi,,,
E-INT-002,,Existing humanvoice package audit and calibration,2026,,,,,not-applicable-no-doi,,,
E-EXT-001,10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1126%2Fscience.adh2586 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-002,10.1145/3491102.3502030,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,2022,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1145%2F3491102.3502030 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-003,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2024.emnlp-main.928 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-004,10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1126%2Fsciadv.adn5290 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-005,10.1038/s41746-023-00819-6,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,2023,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1038%2Fs41746-023-00819-6 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-006,,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",2025,,,,,not-applicable-no-doi,,,
E-METHOD-001,10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1186%2Fs13643-020-01542-z (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-SW-001,,Vale documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-002,,textlint documentation and repository,2026,,,,,not-applicable-no-doi,,,
E-METHOD-002,,OpenAlex search documentation,2026,,,,,not-applicable-no-doi,,,
E-METHOD-003,,Crossref REST API documentation,2026,,,,,not-applicable-no-doi,,,
